@relation 'bank-weka.filters.unsupervised.attribute.Remove-R2-5,7-11,13-15'

@attribute age numeric
@attribute balance numeric
@attribute duration numeric
@attribute poutcome {unknown,failure,other,success}
@attribute y {no,yes}

@data
30,1787,79,unknown,no
33,4789,220,failure,no
35,1350,185,failure,no
30,1476,199,unknown,no
59,0,226,unknown,no
35,747,141,failure,no
36,307,341,other,no
39,147,151,unknown,no
41,221,57,unknown,no
43,-88,313,failure,no
39,9374,273,unknown,no
43,264,113,unknown,no
36,1109,328,unknown,no
20,502,261,unknown,yes
31,360,89,failure,no
40,194,189,unknown,no
56,4073,239,unknown,no
37,2317,114,failure,no
25,-221,250,unknown,no
31,132,148,other,no
38,0,96,unknown,no
42,16,140,unknown,no
44,106,109,unknown,no
44,93,125,unknown,no
26,543,169,unknown,no
41,5883,182,unknown,no
55,627,247,unknown,no
67,696,119,failure,no
56,784,149,unknown,no
53,105,74,unknown,no
68,4189,897,unknown,yes
31,171,81,unknown,no
59,42,40,unknown,no
32,2536,958,unknown,yes
49,1235,354,unknown,yes
42,1811,150,unknown,no
78,229,97,unknown,yes
32,2089,132,unknown,yes
33,3935,765,failure,yes
23,363,16,unknown,no
38,11971,609,failure,no
36,553,106,unknown,no
52,1117,365,unknown,no
32,396,205,unknown,no
32,2204,11,unknown,no
34,872,105,unknown,no
55,145,59,other,no
26,0,425,unknown,no
32,-849,204,unknown,no
61,4629,181,success,yes
45,844,1018,unknown,yes
37,228,1740,unknown,no
38,50,98,unknown,no
34,1539,441,other,yes
53,2231,272,unknown,no
48,3064,159,unknown,no
57,82,140,unknown,no
33,2155,295,unknown,no
36,101,314,unknown,no
54,784,579,unknown,no
41,-516,554,unknown,no
63,415,323,unknown,no
48,5887,227,unknown,no
48,1355,134,unknown,no
56,16873,223,unknown,no
51,203,134,failure,no
31,338,155,unknown,no
29,444,130,unknown,no
41,0,630,unknown,no
32,360,164,unknown,no
37,0,268,success,yes
42,2,380,unknown,no
31,6248,154,unknown,no
41,412,154,unknown,no
56,344,221,unknown,no
54,3222,67,unknown,no
41,174,367,other,no
40,591,87,unknown,no
50,388,701,unknown,no
40,219,204,failure,no
27,451,652,unknown,yes
60,5,63,unknown,no
28,177,150,unknown,no
52,657,398,failure,yes
37,1315,224,unknown,yes
51,1466,406,unknown,no
41,879,60,unknown,no
35,293,521,unknown,no
38,424,279,unknown,no
34,1831,203,unknown,no
39,111,201,unknown,no
34,455,372,unknown,no
27,-195,391,unknown,yes
32,3616,165,unknown,no
57,14093,231,unknown,no
41,1567,291,unknown,no
41,5426,149,unknown,no
30,261,233,failure,no
36,2843,473,success,no
31,406,736,unknown,yes
36,0,337,unknown,no
38,493,553,failure,no
