@relation 'income50-weka.filters.unsupervised.attribute.Remove-R1-4,7,9-10,13-14'

@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute above50 {>50K,<=50K}

@data
13,Never-married,Not-in-family,2174,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
9,Divorced,Not-in-family,0,0,<=50K
7,Married-civ-spouse,Husband,0,0,<=50K
13,Married-civ-spouse,Wife,0,0,<=50K
14,Married-civ-spouse,Wife,0,0,<=50K
5,Married-spouse-absent,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,>50K
14,Never-married,Not-in-family,14084,0,>50K
13,Married-civ-spouse,Husband,5178,0,>50K
10,Married-civ-spouse,Husband,0,0,>50K
13,Married-civ-spouse,Husband,0,0,>50K
13,Never-married,Own-child,0,0,<=50K
12,Never-married,Not-in-family,0,0,<=50K
11,Married-civ-spouse,Husband,0,0,>50K
4,Married-civ-spouse,Husband,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
9,Never-married,Unmarried,0,0,<=50K
7,Married-civ-spouse,Husband,0,0,<=50K
14,Divorced,Unmarried,0,0,>50K
16,Married-civ-spouse,Husband,0,0,>50K
9,Separated,Unmarried,0,0,<=50K
5,Married-civ-spouse,Husband,0,0,<=50K
7,Married-civ-spouse,Husband,0,2042,<=50K
9,Divorced,Unmarried,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
9,Never-married,Own-child,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,>50K
9,Divorced,Not-in-family,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
12,Never-married,Not-in-family,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
13,Divorced,Own-child,0,1408,<=50K
10,Married-civ-spouse,Own-child,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,<=50K
7,Never-married,Unmarried,0,0,<=50K
10,Never-married,Own-child,0,0,<=50K
9,Married-AF-spouse,Wife,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,>50K
12,Married-civ-spouse,Husband,0,0,<=50K
5,Married-civ-spouse,Husband,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,<=50K
9,Separated,Unmarried,0,0,<=50K
9,Never-married,Not-in-family,0,0,<=50K
13,Married-civ-spouse,Husband,0,0,>50K
9,Married-civ-spouse,Husband,0,0,<=50K
14,Divorced,Unmarried,0,0,<=50K
11,Married-civ-spouse,Husband,0,0,<=50K
11,Never-married,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Wife,0,0,<=50K
9,Never-married,Own-child,0,0,<=50K
15,Married-civ-spouse,Wife,0,1902,>50K
13,Divorced,Not-in-family,0,0,>50K
9,Divorced,Not-in-family,0,0,<=50K
10,Married-civ-spouse,Husband,0,0,>50K
3,Married-civ-spouse,Husband,0,0,<=50K
11,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Husband,0,0,<=50K
9,Married-civ-spouse,Husband,5013,0,<=50K
13,Married-civ-spouse,Husband,2407,0,<=50K
