@relation 'LoanStats-weka.filters.unsupervised.attribute.Remove-R49-57-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R13-14-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R13,32-35-weka.filters.unsupervised.attribute.Remove-R27-30-weka.filters.unsupervised.attribute.Remove-R26-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1'

@attribute loan_amnt numeric
@attribute funded_amnt numeric
@attribute funded_amnt_inv numeric
@attribute term numeric
@attribute int_rate {'11.89\%','10.71\%','13.11\%','13.57\%','10.08\%','14.26\%','7.88\%','14.96\%','9.88\%','11.14\%','11.34\%','12.21\%','13.47\%','11.49\%','13.24\%','8.59\%','7.14\%','8.63\%','11.03\%','13.17\%','8.94\%','10.39\%','15.13\%','8.00\%','15.33\%','13.55\%','12.29\%','9.01\%','7.43\%','13.75\%','8.07\%','10.28\%','8.70\%','11.22\%','9.96\%','9.33\%','8.38\%','7.75\%','10.59\%','15.96\%','11.54\%','13.43\%','12.49\%','9.64\%','11.86\%','15.01\%','12.80\%','10.91\%','12.17\%','7.12\%','14.38\%','15.65\%','14.67\%','13.12\%','14.70\%','14.07\%','10.14\%','10.46\%','13.30\%','9.83\%','13.93\%','9.20\%','12.36\%','13.62\%','10.78\%','15.83\%','11.09\%','11.41\%','12.67\%','12.04\%','9.51\%','11.72\%','12.99\%','14.88\%','15.20\%','14.25\%','18.36\%','16.15\%','6.00\%','8.32\%','12.61\%','9.45\%','11.97\%','13.87\%','9.76\%','12.92\%','7.37\%','7.68\%','11.66\%','14.18\%','15.45\%','14.82\%','17.03\%','14.50\%','16.71\%','15.76\%','16.08\%','16.40\%','17.34\%','10.51\%','15.70\%','7.49\%','12.22\%','12.73\%','13.79\%','11.12\%','12.53\%','11.28\%','12.86\%','12.87\%','9.70\%','10.01\%','15.38\%','11.91\%','12.54\%','11.59\%','13.80\%','10.96\%','10.64\%','13.49\%','10.33\%','14.75\%','16.01\%','15.07\%','14.12\%','16.33\%','16.96\%','11.46\%','13.04\%','12.72\%','10.25\%','12.09\%','10.83\%','11.78\%','12.41\%','15.88\%','9.07\%','10.20\%','13.36\%','15.57\%','9.38\%','14.93\%','14.62\%','13.67\%','9.63\%','11.26\%','14.42\%','11.48\%','13.99\%','15.25\%','14.30\%','13.92\%','19.04\%','13.23\%','18.72\%','16.20\%','10.38\%','17.15\%','15.68\%','14.54\%','10.62\%','17.46\%','9.32\%','14.11\%','15.05\%','13.16\%','16.00\%','11.58\%','12.84\%','10.95\%','16.95\%','14.74\%','9.62\%','15.37\%','16.32\%','7.51\%','14.22\%','12.18\%','16.63\%','17.26\%','18.53\%','13.48\%','15.31\%','16.35\%','17.90\%','17.58\%','18.43\%','15.95\%','18.30\%','18.21\%','11.83\%','7.40\%','16.07\%','16.82\%','7.74\%','13.22\%','20.86\%','10.36\%','14.61\%','13.85\%','10.99\%','19.16\%','16.49\%','18.84\%','20.11\%','14.59\%','16.70\%','19.79\%','17.39\%','17.04\%','19.13\%','17.74\%','7.05\%','9.25\%','18.78\%','18.09\%','13.98\%','20.17\%','19.82\%','19.47\%','7.66\%','11.36\%','21.21\%','6.03\%','6.76\%','17.93\%','20.52\%','14.84\%','17.19\%','11.11\%','12.98\%','17.56\%','6.39\%','16.45\%','20.90\%','20.16\%','7.29\%','19.41\%','18.67\%','21.27\%','14.72\%','15.58\%','20.53\%','6.17\%','15.21\%','10.75\%','13.61\%','16.02\%','14.35\%','6.54\%','5.79\%','10.74\%','9.99\%','6.91\%','13.35\%','8.88\%','18.99\%','10.37\%','12.68\%','18.39\%','14.91\%','21.64\%','14.09\%','14.27\%','14.83\%','5.42\%','17.06\%','18.17\%','13.72\%','20.40\%','14.46\%','12.23\%','17.43\%','16.69\%','17.80\%','21.14\%','15.28\%','19.29\%','18.91\%','18.54\%','20.03\%','20.77\%','19.66\%','15.99\%','22.48\%','13.06\%','18.25\%','20.85\%','17.44\%','12.69\%','10.00\%','11.99\%','6.62\%','20.25\%','19.74\%','14.17\%','6.92\%','17.14\%','17.51\%','17.88\%','16.77\%','18.62\%','19.36\%','21.59\%','21.22\%','20.48\%','16.89\%','5.99\%','20.99\%','7.90\%','22.11\%','8.49\%','17.99\%','15.23\%','19.69\%','15.62\%','6.99\%','14.79\%','12.42\%','18.79\%','20.62\%','17.49\%','7.91\%','22.85\%','13.84\%','21.74\%','22.94\%','21.36\%','8.90\%','11.71\%','23.59\%','18.07\%','20.20\%','16.11\%','12.12\%','9.67\%','18.49\%','24.40\%','21.82\%','19.03\%','11.63\%','7.42\%','16.59\%','24.59\%','20.69\%','23.22\%','21.48\%','12.62\%','19.39\%','22.64\%','17.54\%','21.67\%','20.30\%','9.91\%','17.27\%','19.42\%','16.29\%','22.06\%','15.27\%','18.64\%','10.65\%','14.65\%','19.91\%','22.35\%','21.28\%','20.89\%','22.74\%','23.13\%','23.91\%','23.52\%','24.11\%'}
@attribute installment numeric
@attribute grade {B,C,A,D,E,F,G}
@attribute sub_grade {B4,B5,C2,C3,B3,C5,A5,D2,B1,C4,D3,A4,A3,C1,E4,D4,B2,A2,E2,F4,E1,D1,F1,F2,A1,F3,E5,D5,E3,G5,F5,G1,G4,G3,G2}
@attribute length numeric
@attribute home_ownership {RENT,OWN,MORTGAGE,NONE,OTHER}
@attribute annual_inc numeric
@attribute is_inc_v {Verified,'Not Verified','Source Verified'}
@attribute purpose {debt_consolidation,credit_card,car,home_improvement,small_business,major_purchase,moving,other,house,vacation,educational,wedding,medical,renewable_energy}
@attribute addr_state {CA,NY,TX,CT,MD,MA,MI,KY,MS,KS,GA,NC,NJ,WA,OH,AZ,IL,CO,WI,FL,IN,VA,ME,NE,NM,MO,UT,LA,SC,AL,TN,NH,SD,DE,WY,OR,MN,DC,HI,NV,VT,IA,ID,RI,PA,AR,OK,AK,MT,WV}
@attribute dti numeric
@attribute delinq_2yrs numeric
@attribute fico_range_low numeric
@attribute fico_range_high numeric
@attribute inq_last_6mths numeric
@attribute mths_since_last_delinq numeric
@attribute mths_since_last_record numeric
@attribute open_acc numeric
@attribute pub_rec numeric
@attribute revol_bal numeric
@attribute total_acc numeric
@attribute last_fico_range_high numeric
@attribute last_fico_range_low numeric
@attribute 'good loan' {yes,no}

@data
25000,25000,19080.0572,36,'11.89\%',829.1,B,B4,0.5,RENT,85000,Verified,debt_consolidation,CA,19.48,0,735,739,0,0,0,10,0,28854,42,789,785,yes
10625,10625,5325.172025,36,'13.47\%',360.43,C,C4,12,MORTGAGE,34000,'Not Verified',debt_consolidation,MS,22.09,0,675,679,2,57,85,5,1,13846,16,719,715,yes
5000,5000,4975,36,'15.13\%',173.65,E,E4,2,RENT,60000,Verified,major_purchase,KY,2.74,0,665,669,3,0,0,2,0,591,6,729,725,yes
5000,5000,225,36,'7.43\%',155.38,A,A2,4,RENT,200000,'Not Verified',house,NY,0.28,0,770,774,0,0,0,2,0,3164,2,774,770,yes
5000,5000,375,36,'9.96\%',161.25,B,B5,4,MORTGAGE,48000,'Not Verified',debt_consolidation,FL,8.03,0,705,709,1,0,0,6,0,28329,6,724,720,yes
5000,5000,675,36,'9.01\%',159.03,B,B2,1,RENT,73000,'Not Verified',credit_card,VA,9.96,0,720,724,0,0,0,21,0,23489,28,764,760,yes
6400,6400,4075,36,'9.64\%',205.45,B,B4,1,RENT,60000,'Not Verified',moving,WI,7.72,0,710,714,0,0,0,7,0,3362,8,719,715,yes
5000,5000,1300,36,'7.43\%',155.38,A,A2,0.5,MORTGAGE,70000,'Not Verified',credit_card,AZ,4.56,0,810,814,0,0,0,13,0,813,36,814,810,yes
3000,3000,2175,36,'8.70\%',94.98,B,B1,5,MORTGAGE,62000,'Not Verified',home_improvement,FL,12.23,0,735,739,0,0,0,10,0,3678,14,789,785,yes
10000,10000,2925,36,'11.54\%',329.95,C,C5,9,MORTGAGE,225000,'Not Verified',debt_consolidation,MA,20,0,725,729,2,0,0,18,0,107501,34,769,765,yes
7000,7000,75,36,'12.49\%',234.15,D,D3,0.5,RENT,23000,'Not Verified',other,NM,5.01,0,660,664,3,0,0,3,0,1061,4,524,520,yes
7200,7200,1250,36,'14.67\%',248.43,E,E5,3,RENT,57000,'Not Verified',debt_consolidation,MA,20.76,1,665,669,0,8,0,14,0,13552,18,719,715,yes
25000,5650,725,36,'14.38\%',194.15,E,E4,2,MORTGAGE,480000,'Not Verified',small_business,NY,2.4,1,695,699,3,12,0,9,0,26628,18,589,585,yes
8275,8275,575,36,'8.07\%',259.58,A,A4,9,MORTGAGE,49000,'Not Verified',other,NC,9.89,0,770,774,0,0,0,14,0,7744,34,774,770,yes
12375,12375,275,36,'10.91\%',404.62,C,C3,3,MORTGAGE,46713,'Not Verified',small_business,VA,16.39,0,690,694,2,38,0,11,0,8332,28,514,510,yes
4800,4800,1100.79,36,'7.75\%',149.87,A,A3,0.5,RENT,21000,'Not Verified',wedding,TX,6.34,0,750,754,0,0,0,7,0,3470,8,609,605,yes
4800,4800,800,36,'7.75\%',149.87,A,A3,2,RENT,20000,'Not Verified',credit_card,LA,10.26,0,755,759,0,0,0,9,0,4921,9,764,760,yes
4000,4000,972.37,36,'10.59\%',130.18,C,C2,3,RENT,62000,'Not Verified',credit_card,WA,17.81,0,680,684,2,32,0,15,0,18168,30,699,695,yes
11300,11300,1475,36,'12.17\%',376.24,D,D2,8,RENT,33600,'Not Verified',debt_consolidation,IN,23.96,0,710,714,1,0,0,9,0,12102,15,759,755,yes
9000,9000,1125,36,'12.49\%',301.04,D,D3,9,MORTGAGE,52000,'Not Verified',credit_card,NY,4.98,0,660,664,1,44,0,6,0,8644,14,559,555,yes
3000,3000,750,36,'9.33\%',95.87,B,B3,4,RENT,36600,'Not Verified',other,ME,2.69,0,695,699,2,0,0,4,0,1492,5,664,660,yes
4000,4000,1675,36,'7.75\%',124.89,A,A3,2,RENT,24000,'Not Verified',other,NC,6,0,750,754,0,55,0,8,0,2666,19,794,790,yes
25000,25000,600,36,'9.64\%',802.47,B,B4,2,RENT,48000,'Not Verified',debt_consolidation,IN,9.78,0,740,744,4,0,0,22,0,8283,39,719,715,yes
2800,2800,1100,36,'7.43\%',87.01,A,A2,1,RENT,29376,'Not Verified',moving,FL,3.96,0,765,769,1,0,0,8,0,1773,15,789,785,yes
12000,12000,1614.03,36,'9.33\%',383.45,B,B3,2,RENT,68640,'Not Verified',debt_consolidation,CA,7.47,2,715,719,0,8,0,8,0,11370,22,699,695,yes
4350,4350,1129.09,36,'11.54\%',143.53,C,C5,6,RENT,22000,'Not Verified',debt_consolidation,CA,24.71,0,705,709,0,0,0,10,0,5967,10,739,735,yes
7500,7500,1599.78,36,'9.83\%',241.41,B,B3,7,RENT,96000,'Not Verified',credit_card,CA,2.69,0,710,714,0,0,107,4,1,1944,11,649,645,yes
25000,25000,6360.44,36,'15.83\%',876.83,F,F2,0.5,MORTGAGE,120000,'Not Verified',credit_card,NJ,18.08,2,675,679,2,16,0,24,0,62976,30,499,0,yes
10000,10000,2650,36,'11.41\%',329.34,C,C3,2,RENT,78504,'Not Verified',debt_consolidation,CA,14.03,1,690,694,3,12,47,12,1,8473,29,704,700,yes
500,500,475,36,'11.41\%',16.47,C,C3,0.5,RENT,19500,'Not Verified',other,VA,3.69,0,665,669,0,0,57,8,1,12229,15,509,505,yes
9000,9000,2388.45,36,'9.83\%',289.69,B,B3,1,RENT,21600,'Not Verified',debt_consolidation,CA,4.83,0,710,714,0,0,0,5,0,7263,9,654,650,yes
15000,15000,1277.71,36,'14.25\%',514.49,E,E2,0.5,RENT,48000,'Not Verified',debt_consolidation,CA,19.05,0,665,669,0,47,0,9,0,14036,21,654,650,yes
13500,13500,678.35,36,'10.78\%',440.57,C,C1,0.5,RENT,37200,'Not Verified',debt_consolidation,NY,12.58,0,700,704,0,0,0,9,0,10251,11,709,705,yes
14400,14400,1510.69,36,'9.51\%',461.35,B,B2,12,RENT,88068,'Not Verified',debt_consolidation,CA,9.96,0,730,734,0,0,104,10,1,4765,32,514,510,yes
9000,9000,1400,36,'12.36\%',300.48,D,D1,6,MORTGAGE,85000,'Not Verified',debt_consolidation,AZ,21.8,0,675,679,1,0,0,15,0,13686,28,644,640,yes
7000,7000,1822.03,36,'10.78\%',228.45,C,C1,7,RENT,69500,'Not Verified',credit_card,RI,16.51,0,690,694,0,0,0,8,0,22157,12,694,690,yes
10000,10000,950,36,'11.41\%',329.34,C,C3,2,RENT,40000,'Not Verified',debt_consolidation,NY,15.93,0,690,694,0,0,0,13,0,14643,25,714,710,yes
20000,20000,1875,36,'14.25\%',685.99,E,E2,0.5,RENT,48000,'Not Verified',debt_consolidation,MD,2.1,0,670,674,2,0,0,5,0,19892,7,499,0,yes
